"","Species","Oxygen","Gram","Motility","MedianGC","antimicrobial_susceptibility","optimal_temp","optimal_ph","pathogenicity"
"1","MegasphaeravaginalisBordigonietal2020",NA,NA,NA,NA,NA,NA,NA,NA
"2","Abiotrophiadefectiva",NA,NA,NA,NA,NA,NA,NA,NA
"3","Absicoccusporci",NA,NA,NA,NA,NA,NA,NA,NA
"4","Absiellaargi",NA,NA,NA,NA,NA,NA,NA,NA
"5","Absiellatortuosum",NA,NA,NA,NA,NA,NA,NA,NA
"6","Abyssisolibacterfermentans",NA,NA,NA,NA,NA,NA,NA,NA
"7","Abyssivirgaalkaniphila",NA,NA,NA,NA,NA,NA,NA,NA
"8","Acerihabitansarboris",NA,NA,NA,NA,NA,NA,NA,NA
"9","Acetanaerobacteriumelongatum","Anaerobe","Gram+","Motile",2842,NA,NA,NA,NA
"10","Acetatifactormuris","Anaerobe","Gram+","Nonmotile",6002,NA,NA,NA,NA
"11","Acetilactobacillusjinshanensis",NA,NA,NA,NA,NA,NA,NA,NA
"12","Acetitomaculumruminis",NA,NA,NA,NA,NA,NA,NA,NA
"13","Acetivibrioaldrichii",NA,NA,NA,NA,NA,NA,NA,NA
"14","Acetivibrioalkalicellulosi",NA,NA,NA,NA,NA,NA,NA,NA
"15","Acetivibriocellulolyticus",NA,NA,NA,NA,NA,NA,NA,NA
"16","AcetivibrioclariflavusDSM19732","Anaerobe","Gram+","Nonmotile",4229,NA,NA,NA,NA
"17","Acetivibrioethanolgignens","Anaerobe","Gram+","Motile",3697,NA,NA,NA,NA
"18","Acetivibriomesophilus",NA,NA,NA,NA,NA,NA,NA,NA
"19","Acetivibriosaccincola",NA,NA,NA,NA,NA,NA,NA,NA
"20","Acetivibriostraminisolvens",NA,NA,NA,NA,NA,NA,NA,NA
"21","Acetivibriothermocellus",NA,NA,NA,NA,NA,NA,NA,NA
"22","Acetoanaerobiumpronyense",NA,NA,NA,NA,NA,NA,NA,NA
"23","Acetobactercerevisiae",NA,NA,NA,NA,NA,NA,NA,NA
